Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,PR_delta_H,ROC_delta_H,dLR
4,0.7493021009367481,0.0,0.7505218378677776,0.0,0.7932085128885698,0.0,0.7690661451385524,0.0,0.0,0.0,0.7727937963370871,0.0,0.0,0.0,0.8079926674550914,0.0,0.0,0.0,0.1628924879592773,0.0,0.0,0.0,0.176490560586844,0.0,0.0,0.0,0.283324328942633,0.0,0.0,0.0,0.1549355780568551,0.0,0.1702330272338532,0.0,0.2776556516646618,0.0,FLI1,RandomForestClassifier,4,0.006257533352990813,-0.05715074966387046,-0.05715074966387046
8,0.8136873995185412,0.0,0.8186216855771306,0.0,0.8997433109628716,0.0,0.8457503898563459,0.0,0.0,0.0,0.8462304360996533,0.0,0.0,0.0,0.910551290638273,0.0,0.0,0.0,0.1974889801385347,0.0,0.0,0.0,0.2097455988306994,0.0,0.0,0.0,0.3357659777169475,0.0,0.0,0.0,0.1549355780568551,0.0,0.1702330272338532,0.0,0.2776556516646618,0.0,FLI1,RandomForestClassifier,8,0.03951257159684621,0.016285890098695743,0.016285890098695743
16,0.8287351238935223,0.0,0.8299445460009576,0.0,0.9229368958813416,0.0,0.8839162773617609,0.0,0.0,0.0,0.882966584080593,0.0,0.0,0.0,0.9767056329515678,0.0,0.0,0.0,0.238033287364043,0.0,0.0,0.0,0.2436182917525247,0.0,0.0,0.0,0.5202805067500863,0.0,0.0,0.0,0.1549355780568551,0.0,0.1702330272338532,0.0,0.2776556516646618,0.0,FLI1,RandomForestClassifier,16,0.0733852645186715,0.05302203807963546,0.05302203807963546
all,0.8287351238935223,0.0,0.8299445460009576,0.0,0.9229368958813416,0.0,0.8868398603032688,0.0,0.0,0.0,0.8859799489649726,0.0,0.0,0.0,0.978886222179944,0.0,0.0,0.0,0.2384712211189361,0.0,0.0,0.0,0.2441971568304417,0.0,0.0,0.0,0.5340251193911847,0.0,0.0,0.0,0.1549355780568551,0.0,0.1702330272338532,0.0,0.2776556516646618,0.0,FLI1,RandomForestClassifier,all,0.07396412959658849,0.05603540296401499,0.05603540296401499
2,0.8465802543984947,0.0,0.8500351652557787,0.0,0.6626769770408163,0.0,0.8719037951999629,0.0,0.0,0.0,0.8713486790242507,0.0,0.0,0.0,0.6741998166454082,0.0,0.0,0.0,0.1488500004569551,0.0,0.0,0.0,0.1298701607364642,0.0,0.0,0.0,0.0281274810895676,0.0,0.0,0.0,0.1106357709229568,0.0,0.1103028754429603,0.0,0.0289369382855197,0.0,ZBTB8B,RandomForestClassifier,2,0.019567285293503905,0.021313513768472014,0.021313513768472014
4,0.8465802543984947,0.0,0.8500351652557787,0.0,0.6626769770408163,0.0,0.8916243606091773,0.0,0.0,0.0,0.891139557144547,0.0,0.0,0.0,0.7725262077487245,0.0,0.0,0.0,0.1683193459872638,0.0,0.0,0.0,0.1474036934905938,0.0,0.0,0.0,0.0368182444643719,0.0,0.0,0.0,0.1106357709229568,0.0,0.1103028754429603,0.0,0.0289369382855197,0.0,ZBTB8B,RandomForestClassifier,4,0.03710081804763349,0.041104391888768244,0.041104391888768244
8,0.8465802543984947,0.0,0.8500351652557787,0.0,0.6626769770408163,0.0,0.8922042763557397,0.0,0.0,0.0,0.893044006726095,0.0,0.0,0.0,0.8060021723533163,0.0,0.0,0.0,0.1743069081492752,0.0,0.0,0.0,0.1533606602456241,0.0,0.0,0.0,0.0611837973078951,0.0,0.0,0.0,0.1106357709229568,0.0,0.1103028754429603,0.0,0.0289369382855197,0.0,ZBTB8B,RandomForestClassifier,8,0.043057784802663784,0.04300884147031625,0.04300884147031625
16,0.8465802543984947,0.0,0.8500351652557787,0.0,0.6626769770408163,0.0,0.8935193185792577,0.0,0.0,0.0,0.8935764453045666,0.0,0.0,0.0,0.8156096540178571,0.0,0.0,0.0,0.1833908922604663,0.0,0.0,0.0,0.1584002216662153,0.0,0.0,0.0,0.0882190611969173,0.0,0.0,0.0,0.1106357709229568,0.0,0.1103028754429603,0.0,0.0289369382855197,0.0,ZBTB8B,RandomForestClassifier,16,0.04809734622325501,0.04354128004878788,0.04354128004878788
all,0.8465802543984947,0.0,0.8500351652557787,0.0,0.6626769770408163,0.0,0.893334597233636,0.0,0.0,0.0,0.8932790339631769,0.0,0.0,0.0,0.8199068279655612,0.0,0.0,0.0,0.1815807966373755,0.0,0.0,0.0,0.1569557012883811,0.0,0.0,0.0,0.0883554352348388,0.0,0.0,0.0,0.1106357709229568,0.0,0.1103028754429603,0.0,0.0289369382855197,0.0,ZBTB8B,RandomForestClassifier,all,0.0466528258454208,0.04324386870739816,0.04324386870739816
2,0.9522684992364292,0.0,0.9648001430238248,0.0,0.8218958796082348,0.0,0.9941186542644268,0.0,0.0,0.0,0.9620222816063834,0.0,0.0,0.0,0.823817870373131,0.0,0.0,0.0,0.8911980307756681,0.0,0.0,0.0,0.858302265462353,0.0,0.0,0.0,0.589706274055838,0.0,0.0,0.0,0.7936605488198485,0.0,0.8313495635770726,0.0,0.564859874754483,0.0,ZNF814,RandomForestClassifier,2,0.026952701885280428,-0.0027778614174414074,-0.0027778614174414074
