,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count,PR_delta_M,ROC_delta_M
80,27,0.8760825350972704,0,0.8777494784580498,0,0.8582179104551977,0,0.9177665491351804,0,0,0,0.9195113126732172,0,0,0,0.8542180898238202,0,0,0,0.3688675633664308,0,0,0,0.3877058107827258,0,0,0,0.2400467704745143,0,0,0,0.2558351468443162,0,0.2668531119629951,0,0.216359623702191,0,ZNF407,LogisticRegression,mono,1575,-0.216359623702191,-0.8582179104551977
88,20,0.9143069151852142,0,0.9102481289050752,0,0.8955635389745612,0,0.9387327816500032,0,0,0,0.9316960138995622,0,0,0,0.8876349204294879,0,0,0,0.7927229203990332,0,0,0,0.7620193791359654,0,0,0,0.4111546285043989,0,0,0,0.767143526329641,0,0.7346965865416515,0,0.4028600272191752,0,ZNF260,LogisticRegression,mono,346,-0.4028600272191752,-0.8955635389745612
96,20,0.9543331820423276,0,0.9527366784132518,0,0.4718162566940783,0,0.9614158248763456,0,0,0,0.9586690157662188,0,0,0,0.5805328405273561,0,0,0,0.7686791491981467,0,0,0,0.7803988133266863,0,0,0,0.030216569147624,0,0,0,0.6382165060336414,0,0.6433824280658746,0,0.0261418042264457,0,DNTTIP1,LogisticRegression,mono,2476,-0.0261418042264457,-0.4718162566940783
104,41,0.8894676343556238,0,0.8858444787908172,0,0.7365814817791349,0,0.8792483845850012,0,0,0,0.8779980186845459,0,0,0,0.7369004486916343,0,0,0,0.5839372916774607,0,0,0,0.5898011434321055,0,0,0,0.1293819491958253,0,0,0,0.5982170399630397,0,0.6070495649026021,0,0.1372314815198109,0,JRK,LogisticRegression,mono,1833,-0.1372314815198109,-0.7365814817791349
112,33,0.9300145729118868,0,0.9364140856259195,0,0.8596696193119276,0,0.9434915756652146,0,0,0,0.9469664864174518,0,0,0,0.8826200118794811,0,0,0,0.6082859067433843,0,0,0,0.6236183582893267,0,0,0,0.1789203402071177,0,0,0,0.5608255026660538,0,0.5781892943981745,0,0.1252623220642034,0,ZNF471,LogisticRegression,mono,2613,-0.1252623220642034,-0.8596696193119276
120,25,0.8031099774931049,0,0.7953242399183181,0,0.7547353163950966,0,0.8425092134518981,0,0,0,0.8380745297852141,0,0,0,0.7960975081161092,0,0,0,0.0750983603325285,0,0,0,0.0739186288477587,0,0,0,0.0573239019688985,0,0,0,0.0498096454009151,0,0.0443364772712054,0,0.0306874714569936,0,ZBTB8A,LogisticRegression,mono,1272,-0.0306874714569936,-0.7547353163950966
128,23,0.9231780663976952,0,0.9238804926891392,0,0.8715461010140505,0,0.9429232377535492,0,0,0,0.9448170488584902,0,0,0,0.8975993117348151,0,0,0,0.5665705511801016,0,0,0,0.5825761770021712,0,0,0,0.4104452965818095,0,0,0,0.5201272552807142,0,0.5426102920955953,0,0.3720147206409077,0,ZNF251,LogisticRegression,mono,6019,-0.3720147206409077,-0.8715461010140505
136,29,0.9621880776857962,0,0.9633745611888392,0,0.9379903358489652,0,0.9670230848433308,0,0,0,0.967752518605441,0,0,0,0.9330936506588366,0,0,0,0.4401302974903722,0,0,0,0.4553277587690825,0,0,0,0.6722860411330267,0,0,0,0.4010742176797907,0,0.413980448996076,0,0.7037929529320133,0,ZNF493,LogisticRegression,mono,11361,-0.7037929529320133,-0.9379903358489652
144,34,0.9315122843948488,0,0.9346462065473676,0,0.5637049866734002,0,0.9669364421872256,0,0,0,0.9669910008069262,0,0,0,0.5830670440085818,0,0,0,0.4711409383096179,0,0,0,0.4814670741074653,0,0,0,0.0373739206363316,0,0,0,0.3156060343768798,0,0.3230179143824594,0,0.0375392422438891,0,VDR,LogisticRegression,mono,4617,-0.0375392422438891,-0.5637049866734002
152,20,0.8561876495606185,0,0.8513493776193157,0,0.6073411813846578,0,0.922305533491524,0,0,0,0.9136557828235442,0,0,0,0.7646793074785982,0,0,0,0.4391211933243246,0,0,0,0.4083351005157646,0,0,0,0.0891387658057132,0,0,0,0.2074096964953077,0,0.1983603015075394,0,0.0194384704225126,0,ZNF322,LogisticRegression,mono,876,-0.0194384704225126,-0.6073411813846578
