,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count,PR_delta_M,ROC_delta_M
51,20,0.6935470863683663,0,0.7195739619377163,0,0.8992288366904264,0,0.7776456815816858,0,0,0,0.764526384083045,0,0,0,0.8533417405255405,0,0,0,0.1592170536451976,0,0,0,0.1779610170594696,0,0,0,0.2430269445125591,0,0,0,0.1882569928428164,0,0.1321462494930297,0,0.4043640739334084,0,CAMTA2,LogisticRegression,mono,68.0,-0.4043640739334084,-0.8992288366904264
59,29,0.57190309787848,0,0.6219931157699652,0,0.784224317207378,0,0.5913065488112856,0,0,0,0.6430355922483573,0,0,0,0.8537295933204249,0,0,0,0.060322766205524,0,0,0,0.0762755029153125,0,0,0,0.4570399077702664,0,0,0,0.0478613971906721,0,0.0605299203151473,0,0.3656954879766533,0,ZNF841,LogisticRegression,mono,,-0.3656954879766533,-0.784224317207378
60,29,0.7786542787076034,0,0.7461383907961767,0,0.6268691057459862,0,0.8277893678188037,0,0,0,0.8109736824390916,0,0,0,0.6307802702849675,0,0,0,0.0773477348709439,0,0,0,0.1131171372866117,0,0,0,0.2524349036115627,0,0,0,0.0604200790585616,0,0.0706464587710393,0,0.1188468663076573,0,TIGD4,LogisticRegression,mono,,-0.1188468663076573,-0.6268691057459862
61,26,0.7653759609654911,0,0.7762081524341473,0,0.7485033166785486,0,0.7750567052592187,0,0,0,0.7781320058030408,0,0,0,0.7539637300266291,0,0,0,0.2087767587748905,0,0,0,0.1994721650766291,0,0,0,0.2150857679837274,0,0,0,0.2041923485439429,0,0.1770654417841146,0,0.1756980130437388,0,ZNF470,LogisticRegression,mono,,-0.1756980130437388,-0.7485033166785486
62,26,0.7537050378134861,0,0.6859657545353733,0,0.73351908729753,0,0.7819512900531336,0,0,0,0.7247925340921273,0,0,0,0.7781729298855714,0,0,0,0.0538107970724882,0,0,0,0.0401941288856758,0,0,0,0.1126494660932733,0,0,0,0.0566343547145813,0,0.0739131979293221,0,0.1610933517091247,0,ZNF510,LogisticRegression,mono,,-0.1610933517091247,-0.73351908729753
63,20,0.9465423450603512,0,0.9580666141608488,0,0.9113430100789118,0,0.9635630532287112,0,0,0,0.97063816975782,0,0,0,0.9282964986310815,0,0,0,0.2842580861264653,0,0,0,0.6955882352812706,0,0,0,0.1178780686434183,0,0,0,0.214286290474676,0,0.6069787518666474,0,0.1034029413358516,0,ZNF384,LogisticRegression,mono,,-0.1034029413358516,-0.9113430100789118
64,40,0.8815302484810333,0,0.8805436045662131,0,0.9582873080700374,0,0.8939593756685874,0,0,0,0.8941840498638706,0,0,0,0.9709253005448968,0,0,0,0.3534777680008755,0,0,0,0.5535504945126334,0,0,0,0.7622438322481863,0,0,0,0.3078114705528816,0,0.506935268386528,0,0.6930295937493064,0,CTCF,LogisticRegression,mono,51547.0,-0.6930295937493064,-0.9582873080700374
72,20,0.907876138906938,0,0.8930649538074573,0,0.9468590397118524,0,0.9155852703015932,0,0,0,0.9057943319081342,0,0,0,0.9543692486662662,0,0,0,0.4795154609738322,0,0,0,0.5217953628066722,0,0,0,0.7973441118545004,0,0,0,0.4186472546634627,0,0.4628164093497417,0,0.7495578380945154,0,ZNF134,LogisticRegression,mono,,-0.7495578380945154,-0.9468590397118524
73,43,0.8927092424894211,0,0.9141416563332844,0,0.9429902428971024,0,0.9143913812852312,0,0,0,0.928652584090833,0,0,0,0.961248972416629,0,0,0,0.4463540337967496,0,0,0,0.5256210855873336,0,0,0,0.5711766293657536,0,0,0,0.3125369946128026,0,0.3966429683130085,0,0.4944319802257734,0,KDM2A,LogisticRegression,mono,,-0.4944319802257734,-0.9429902428971024
74,30,0.8799598126331718,0,0.934830691830693,0,0.8783174374698092,0,0.9015215233227076,0,0,0,0.9503235703786368,0,0,0,0.8986623917269134,0,0,0,0.1145399129764741,0,0,0,0.561427133345961,0,0,0,0.1937225040315151,0,0,0,0.0979326928942601,0,0.50177242782949,0,0.1928913249126341,0,TPRX1,LogisticRegression,mono,,-0.1928913249126341,-0.8783174374698092
75,21,0.8905086231983705,0,0.9080085184321997,0,0.9511816302504236,0,0.9080516388709716,0,0,0,0.9222801421809308,0,0,0,0.9629472732181732,0,0,0,0.1758964948158443,0,0,0,0.414757524106515,0,0,0,0.5282964403447573,0,0,0,0.1466507950558658,0,0.3668586110887566,0,0.4519613013043386,0,ELF3,LogisticRegression,mono,,-0.4519613013043386,-0.9511816302504236
76,26,0.7444850361413525,0,0.7449691517779392,0,0.6915193559353264,0,0.7831703546192558,0,0,0,0.7872069893856185,0,0,0,0.7188148239717497,0,0,0,0.050545272251399,0,0,0,0.0445510602122778,0,0,0,0.0255880420690406,0,0,0,0.0413563926782278,0,0.0358758067933981,0,0.0191812286268005,0,SRY,LogisticRegression,mono,,-0.0191812286268005,-0.6915193559353264
77,23,0.911841120418347,0,0.9112842982089102,0,0.6961317958581836,0,0.9312544645897284,0,0,0,0.9329524448550882,0,0,0,0.7512353313358772,0,0,0,0.3128312871315278,0,0,0,0.2740894603316566,0,0,0,0.031444368048747,0,0,0,0.174688125482499,0,0.1601122441254338,0,0.0218024181757582,0,ZNF131,LogisticRegression,mono,,-0.0218024181757582,-0.6961317958581836
78,30,0.7109144719823636,0,0.7749557425855438,0,0.9530422550084908,0,0.7373455335682756,0,0,0,0.8081678680456409,0,0,0,0.9631076060231808,0,0,0,0.0744554393046045,0,0,0,0.1245208781054631,0,0,0,0.3377060534367896,0,0,0,0.0474511462148331,0,0.0714279200812495,0,0.1947453443981324,0,SALL3,LogisticRegression,mono,,-0.1947453443981324,-0.9530422550084908
79,22,0.7306352802547162,0,0.791625805198314,0,0.9482555406099904,0,0.7654677163546423,0,0,0,0.8206986375709815,0,0,0,0.9535223242327532,0,0,0,0.0584393949662629,0,0,0,0.1465771843797189,0,0,0,0.6215910046545132,0,0,0,0.0527899769029941,0,0.1317607756715881,0,0.5929686423124534,0,PRDM10,LogisticRegression,mono,,-0.5929686423124534,-0.9482555406099904
80,24,0.9090790669298116,0,0.9329992760346938,0,0.98554609831997,0,0.9150685061454789,0,0,0,0.9401662151833632,0,0,0,0.9894970977229564,0,0,0,0.3953300107208344,0,0,0,0.5390491690085929,0,0,0,0.6886509354153807,0,0,0,0.403105008671017,0,0.5337431080496168,0,0.5235026954320936,0,NFKB1,LogisticRegression,mono,16856.0,-0.5235026954320936,-0.98554609831997
88,23,0.875347173553719,0,0.9181485607887429,0,0.8743544000268335,0,0.8860630743801653,0,0,0,0.922140349806172,0,0,0,0.9134857178130372,0,0,0,0.5278344669996554,0,0,0,0.6191936447454448,0,0,0,0.314430085337363,0,0,0,0.5092324852262621,0,0.5985977016407777,0,0.237386560241383,0,ZNF726,LogisticRegression,mono,,-0.237386560241383,-0.8743544000268335
89,20,0.773825440677827,0,0.7394569692165411,0,0.8145011007699565,0,0.7912955148151493,0,0,0,0.7863853613423173,0,0,0,0.8570212815524934,0,0,0,0.3383029242003024,0,0,0,0.288454278744561,0,0,0,0.6271094803929151,0,0,0,0.3312169144629054,0,0.3448536433195462,0,0.5489543632863566,0,GLI4,LogisticRegression,mono,,-0.5489543632863566,-0.8145011007699565
90,31,0.8084093842765488,0,0.7850910170609859,0,0.9200736410371418,0,0.8092053512719845,0,0,0,0.7943970423435028,0,0,0,0.9263145471931076,0,0,0,0.3260854255218896,0,0,0,0.3375839160649696,0,0,0,0.5800897850894907,0,0,0,0.3052944936658485,0,0.3246543123188475,0,0.5607745344639286,0,ZNF20,LogisticRegression,mono,,-0.5607745344639286,-0.9200736410371418
91,20,0.7488314970985382,0,0.7401252293546866,0,0.6289121899837211,0,0.7605649490127312,0,0,0,0.7681325271579691,0,0,0,0.5943780522838265,0,0,0,0.3462499785075029,0,0,0,0.3364619437842184,0,0,0,0.238474113036542,0,0,0,0.3080471734622403,0,0.3028333525066672,0,0.2107523969125141,0,ZNF264,LogisticRegression,mono,1086.0,-0.2107523969125141,-0.6289121899837211
99,27,0.92821534405323,0,0.923895894692299,0,0.9484757926495854,0,0.9416612399121044,0,0,0,0.9406858992083864,0,0,0,0.9598261246192022,0,0,0,0.3872145499424835,0,0,0,0.4315900233060196,0,0,0,0.4195847145893291,0,0,0,0.3079797269209856,0,0.3448106991065073,0,0.3173696680013312,0,ZNF780B,LogisticRegression,mono,3301.0,-0.3173696680013312,-0.9484757926495854
107,28,0.8287351238935223,0,0.8525164858899209,0,0.9104167305119334,0,0.8782043521342552,0,0,0,0.899812039416819,0,0,0,0.9608283582766228,0,0,0,0.1742096573390076,0,0,0,0.3007473022767877,0,0,0,0.5656011953164054,0,0,0,0.1549355780568551,0,0.2325842566416032,0,0.3572404632530437,0,FLI1,LogisticRegression,mono,,-0.3572404632530437,-0.9104167305119334
108,20,0.8326791168131271,0,0.771980278485479,0,0.7801083587927796,0,0.8626982283979165,0,0,0,0.7861441799284976,0,0,0,0.7788845248642091,0,0,0,0.0837610589651474,0,0,0,0.0631869305781463,0,0,0,0.0883027007679609,0,0,0,0.061523415935543,0,0.0544183337299283,0,0.111956225663487,0,CAMTA1,LogisticRegression,mono,,-0.111956225663487,-0.7801083587927796
109,20,0.7718302982261595,0,0.7203611651220929,0,0.7803467143348652,0,0.9202703557378916,0,0,0,0.9015206686699828,0,0,0,0.7401261331784551,0,0,0,0.2497681185552161,0,0,0,0.1456661316369256,0,0,0,0.1112416067891158,0,0,0,0.106090798759689,0,0.0945319323064658,0,0.2651852877437685,0,CREB3L3,LogisticRegression,mono,398.0,-0.2651852877437685,-0.7803467143348652
117,32,0.8595221177401283,0,0.9007043340379388,0,0.903638982897564,0,0.8766348553392747,0,0,0,0.9123111967859564,0,0,0,0.8882346264943929,0,0,0,0.1422303621410009,0,0,0,0.2497597663353215,0,0,0,0.1715250118925743,0,0,0,0.1075305632938271,0,0.2229954438906319,0,0.2156238193981875,0,ZSCAN25,LogisticRegression,mono,,-0.2156238193981875,-0.903638982897564
